time,ibs_error
0.0,0.0
30.85929648241206,0.008508183139675437
61.71859296482412,0.012431328563448916
92.57788944723617,0.015547427066891327
123.43718592964824,0.0164261059169175
154.2964824120603,0.014972299155151567
185.15577889447235,0.016342928905355266
216.01507537688443,0.01714956396910436
246.87437185929647,0.021459130140030515
277.73366834170855,0.025613457395013063
308.5929648241206,0.028292872410734502
339.45226130653265,0.034110806358595015
370.3115577889447,0.03826705609494261
401.17085427135675,0.042670548337191146
432.03015075376885,0.04947511763991751
462.8894472361809,0.052160172365877826
493.74874371859295,0.05126698956351475
524.608040201005,0.0545679527734342
555.4673366834171,0.06204305954470706
586.3266331658291,0.06769405339407471
617.1859296482412,0.07608069307777562
648.0452261306532,0.08706542765892247
678.9045226130653,0.09123552531766499
709.7638190954774,0.1004506809565547
740.6231155778894,0.10362510246848358
771.4824120603015,0.10648242306033
802.3417085427135,0.11774189875674893
833.2010050251256,0.11573130621365078
864.0603015075377,0.11331435899043345
894.9195979899497,0.10775494683173237
925.7788944723618,0.10048207206845305
956.6381909547738,0.09938713808200196
987.4974874371859,0.09394971519326176
1018.356783919598,0.08932283353551893
1049.21608040201,0.08590035034877526
1080.075376884422,0.08146821113483906
1110.9346733668342,0.07858429740665909
1141.7939698492462,0.08505601262741337
1172.6532663316582,0.0920603928627816
1203.5125628140704,0.08819837827254118
1234.3718592964824,0.08474227476141348
1265.2311557788944,0.08243168110176827
1296.0904522613064,0.07741421109251846
1326.9497487437186,0.07807902703680646
1357.8090452261306,0.08479652237418389
1388.6683417085426,0.0864850941295161
1419.5276381909548,0.08946869060355925
1450.3869346733668,0.08671108946049431
1481.2462311557788,0.08165715799988194
1512.105527638191,0.08322987669743323
1542.964824120603,0.08391613958375747
1573.824120603015,0.07423728506842076
1604.683417085427,0.06997472978934485
1635.5427135678392,0.06974187890056426
1666.4020100502512,0.07119407163427378
1697.2613065326632,0.0728838561829077
1728.1206030150754,0.06649449440629453
1758.9798994974874,0.06163246807239951
1789.8391959798994,0.05895733080636951
1820.6984924623116,0.05857798520996301
1851.5577889447236,0.06345109421569338
1882.4170854271356,0.06243826397615174
1913.2763819095476,0.06139020354086827
1944.1356783919598,0.062145545209579135
1974.9949748743718,0.06032283271782265
2005.8542713567838,0.06689140798473447
2036.713567839196,0.06817000253420477
2067.572864321608,0.06804758812024908
2098.43216080402,0.07141945660301847
2129.291457286432,0.07492507658409102
2160.150753768844,0.07748507319464845
2191.0100502512564,0.031706872644543325
2221.8693467336684,0.0
