individual_id,ibs_remain,auprc
0,0.058875608775269456,0.6371847759144305
1,0.002201386263106791,0.6507630627401161
2,0.00209956836903596,0.5133482559395435
3,0.003972829898869873,0.753531337914213
4,0.0476078865404472,0.6511199238693078
5,0.00016432287571895422,0.9651794026318435
6,0.01926878623686106,0.7420849902612988
7,0.020749124323399308,0.8485216886028679
8,0.0005067775834419261,0.7777090331300984
9,0.0056968514095086485,0.7542783728555738
10,0.02410508105759964,0.7078945951962182
11,0.016905549675970893,0.7345716472413394
12,0.0004079625726857023,0.9261495477917023
13,0.006496652516741358,0.8560825374395614
14,0.0001244477136746096,0.7454208349833381
15,0.0002588258333771382,0.957296728638624
16,0.07862048125674037,0.7034454359484028
17,0.015586140166377944,0.7497846566800909
18,0.0012833308894863507,0.8070461366797834
19,0.05300702837448619,0.7102737699722697
20,0.037884158160904104,0.6716007315918608
21,0.0006291643612025578,0.7645566817043771
22,0.009286731454562294,0.7848173187399157
23,0.0376979296630321,0.6669946023064032
24,0.0005281801567977972,0.8880072868998209
25,0.011654056356057211,0.7448565963899683
26,0.002251050388796305,0.6575041811326925
27,0.003365589995229063,0.2316390000790018
28,0.0018653961580259787,0.5147670623603693
29,0.00042521427919172246,0.8999927394978952
30,0.008458246643736187,0.7878261200175496
31,0.00034269885997410555,0.7593323656325264
32,0.0016424180616151436,0.8319941696419347
33,0.007404173400610659,0.8379486446648808
34,0.06383397323989091,0.6263705857964543
35,0.0013443590550220792,0.8117575761126468
36,0.004045123082134894,0.8232701565143301
37,1.692706870599798e-05,0.9941800433212511
38,0.06497808675882674,0.8100015472152938
39,0.001958472824294002,0.6454316158405151
40,5.827189115125815e-07,0.9987312902655009
41,0.005994646198664992,0.9374191652342974
42,0.06743614487257793,0.6228175709983126
43,0.0003194321513730151,0.9422445256057521
44,0.014324024816736575,0.7708371552931079
45,0.027010256520503283,0.8259814765925112
46,8.011929676976741e-05,0.7669227528507565
47,0.0007227024931874075,0.7811653311429784
48,0.006432546361185739,0.7878290275182467
49,0.0007423486013407865,0.8511585628840005
50,0.008552377476407132,0.8405049526478607
51,0.00230616117873307,0.6921995534858862
52,6.56040739463929e-05,0.981062054466298
53,0.0009467403650424888,0.9632841750517624
54,0.057144016975900463,0.8328886561808231
55,0.0001418275483577217,0.8013710128205404
56,0.0005358584312861446,0.9201964976428937
57,0.0012815067366099525,0.9336224345626591
58,0.013656690937530825,0.8644981265532934
59,0.000694883376111595,0.8471384123280369
60,0.010298957145013646,0.7424107070634056
61,0.00411024390948582,0.7732578557001707
62,0.00041647806077759766,0.7642185527884878
63,0.002472739482970137,0.7468306270152733
64,0.003251133061155865,0.7743251299705795
65,1.068500422427896e-06,0.9977171978045759
66,0.010597354438698544,0.8820164708533047
67,0.006817277816100741,0.7710280911197425
68,0.0009440080076877837,0.8432058822593667
69,0.05587787704138975,0.7095247040935658
70,0.0008624977754061925,0.769055091235661
71,0.0009711849806041407,0.9063566190471813
72,0.006210030259455717,0.8454245892857863
73,0.004144840239757541,0.8892492978477053
74,0.00046613453229040614,0.9611540767735983
75,4.030446650511014e-06,0.997144587251962
76,0.0421887721024576,0.8115133503418235
